grid,phi_e[V],distance[m],distance[RE]
190,-2.1101368939702E-01,2.4415116979758E+07,3.8322268058009E+00
191,-2.1109688834994E-01,2.4544297492878E+07,3.8525031381067E+00
192,-2.1117695326647E-01,2.4673478005998E+07,3.8727794704126E+00
193,-2.1125390688502E-01,2.4802658519119E+07,3.8930558027184E+00
194,-2.1132777115994E-01,2.4931839032239E+07,3.9133321350242E+00
195,-2.1139856725842E-01,2.5061019545360E+07,3.9336084673300E+00
196,-2.1146631555728E-01,2.5190200058480E+07,3.9538847996359E+00
197,-2.1153103563961E-01,2.5319380571600E+07,3.9741611319417E+00
198,-2.1159274629124E-01,2.5448561084721E+07,3.9944374642475E+00
199,-2.1165146549715E-01,2.5577741597841E+07,4.0147137965533E+00
200,-2.1170721043781E-01,2.5706922110962E+07,4.0349901288591E+00
201,-2.1175999748545E-01,2.5836102624082E+07,4.0552664611650E+00
202,-2.1180984220035E-01,2.5965283137202E+07,4.0755427934708E+00
203,-2.1185675932711E-01,2.6094463650323E+07,4.0958191257766E+00
204,-2.1190076279097E-01,2.6223644163443E+07,4.1160954580824E+00
205,-2.1194186569419E-01,2.6352824676564E+07,4.1363717903883E+00
206,-2.1198008031249E-01,2.6482005189684E+07,4.1566481226941E+00
207,-2.1201541809164E-01,2.6611185702805E+07,4.1769244549999E+00
208,-2.1204788964412E-01,2.6740366215925E+07,4.1972007873057E+00
209,-2.1207750474600E-01,2.6869546729045E+07,4.2174771196116E+00
210,-2.1210427233395E-01,2.6998727242166E+07,4.2377534519174E+00
211,-2.1212820050241E-01,2.7127907755286E+07,4.2580297842232E+00
212,-2.1214929650107E-01,2.7257088268407E+07,4.2783061165290E+00
